,Unnamed: 0,Meses ultima donacion,Numero de Donaciones,Volumen donado cc,Meses primera donacion
622,174,32,1,450,32
623,1167,32,1,450,32
624,1113,32,2,900,37
625,186,32,1,450,32
626,1072,32,1,450,32
627,1408,32,1,450,32
628,1030,35,4,1800,50
629,1048,35,3,1350,50
630,1372,35,3,1350,50
631,1463,35,1,450,35
632,1487,35,1,450,35
633,1517,35,4,1800,50
634,277,35,1,450,35
635,1089,35,1,450,35
636,308,35,1,450,35
637,455,35,1,450,35
638,235,35,4,1800,50
639,1108,35,1,450,35
640,769,35,1,450,35
641,800,35,1,450,35
642,106,35,1,450,35
643,1472,35,1,450,35
644,767,35,1,450,35
645,190,35,1,450,35
646,1471,35,1,450,35
647,605,35,2,900,39
648,768,35,1,450,35
649,1198,35,1,450,35
650,335,35,1,450,35
651,596,35,2,900,42
652,804,35,1,450,35
653,368,35,1,450,35
654,220,35,1,450,35
655,127,35,1,450,35
656,840,35,1,450,35
657,379,35,1,450,35
658,1373,35,1,450,35
659,1454,35,1,450,35
660,815,35,1,450,35
661,1181,35,1,450,35
662,1082,35,1,450,35
663,942,35,1,450,35
664,320,35,1,450,35
665,176,35,2,900,39
666,155,35,2,900,45
667,569,35,1,450,35
668,910,35,1,450,35
669,96,35,3,1350,50
670,224,35,2,900,39
671,1212,35,1,450,35
672,571,35,3,1350,39
673,566,35,1,450,35
674,1177,35,2,900,39
675,1350,35,1,450,35
676,928,35,1,450,35
677,30,35,1,450,35
678,362,35,2,900,50
679,64,35,1,450,35
680,489,35,1,450,35
681,1128,35,1,450,35
682,143,35,1,450,35
683,990,35,1,450,35
684,684,35,1,450,35
685,621,35,1,450,35
686,1384,35,2,900,50
687,1315,35,2,900,39
688,1237,35,2,900,42
689,1235,35,1,450,35
690,1017,35,2,900,39
691,328,37,3,1350,50
692,1129,37,1,450,37
693,1503,37,2,900,37
694,994,37,1,450,37
695,775,37,1,450,37
696,1217,37,2,900,37
697,1330,37,1,450,37
698,707,37,1,450,37
699,1468,37,1,450,37
700,1453,37,1,450,37
701,156,37,1,450,37
702,1462,37,1,450,37
703,101,37,1,450,37
704,314,37,2,900,37
705,263,37,1,450,37
706,1476,37,1,450,37
707,188,37,1,450,37
708,761,37,1,450,37
709,332,37,1,450,37
710,331,37,1,450,37
711,1369,37,1,450,37
712,441,37,1,450,37
713,222,37,1,450,37
714,607,37,1,450,37
715,1431,37,2,900,45
716,685,37,1,450,37
717,246,37,1,450,37
718,903,37,1,450,37
719,198,37,1,450,37
720,1095,37,1,450,37
721,451,37,2,900,50
722,475,37,1,450,37
723,781,37,1,450,37
724,718,39,1,450,39
725,1224,39,1,450,39
726,1409,39,1,450,39
727,177,39,1,450,39
728,181,39,1,450,39
729,187,39,1,450,39
730,334,39,2,900,50
731,194,39,1,450,39
732,463,39,1,450,39
733,1279,39,1,450,39
734,467,39,2,900,45
735,1297,39,1,450,39
736,276,39,1,450,39
737,1171,39,3,1350,50
738,404,39,1,450,39
739,182,39,1,450,39
740,1475,39,1,450,39
741,1302,39,1,450,39
742,1332,39,1,450,39
743,301,39,1,450,39
744,1079,39,1,450,39
745,617,39,1,450,39
746,449,39,1,450,39
747,673,39,3,1350,50
748,1164,39,1,450,39
749,719,39,1,450,39
750,731,39,1,450,39
751,777,39,1,450,39
752,812,39,1,450,39
753,1092,39,1,450,39
754,1099,39,1,450,39
755,1154,39,1,450,39
756,474,39,1,450,39
757,1044,39,1,450,39
758,1340,39,1,450,39
759,1319,39,2,900,49
760,1336,39,1,450,39
761,1333,39,1,450,39
762,1005,39,1,450,39
763,857,39,1,450,39
764,1522,39,2,900,44
765,907,39,1,450,39
766,1490,39,1,450,39
767,10,42,2,900,50
768,477,42,1,450,42
769,1299,42,1,450,42
770,782,42,1,450,42
771,913,42,1,450,42
772,687,42,1,450,42
773,173,42,1,450,42
774,363,42,1,450,42
775,1149,42,1,450,42
776,641,42,1,450,42
777,1007,42,1,450,42
778,866,42,1,450,42
779,828,42,1,450,42
780,136,42,1,450,42
